product_name,permit_number,owner,manufacturer,representative,crop,target,dose,source_pdf,issue_reason
Fontelis 20 SC,04.2/12709-1/2014,"Corteva Agriscience Hungary Zrt. (1112 Budapest, Boldizsár utca 4)",,,"almatermésűek (alma, körte)","lisztharmat, varasodás",0.5-0.75 l/ha,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=345058284es345063433&documentName=Fontelis20SC_vissza_20251126.pdf,existing usage row; manufacturer and representative unavailable in latest processed document metadata
Laser,02.5/1414/4/2008,"Corteva Agriscience Hungary Zrt. (1112 Budapest, Boldizsár utca 4)","Corteva Agriscience International Sàrl Route de Suisse 160, 1290 Versoix, Svájc",,"alma, körte, birsalma, naspolya","almamoly, aknázómolyok",0.5 l/ha,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318238es348319192&documentName=Laser_mod_3010_1_20260107_public.pdf,missing usage row recovered from latest permit point 4
Laser Duplo (er.név: Spin Tor),46797/2004,"Corteva Agriscience Hungary Zrt. (1112 Budapest, Boldizsár utca 4)","Corteva Agriscience International Sàrl Route de Suisse 160, 1290 Versoix, Svájc",,"alma, körte, birs, naspolya","almamoly, aknázómolyok",0.25 l/ha,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348776886es348890151&documentName=Laser+Duplo_mod_20260326.pdf,missing usage row recovered from latest permit point 4
