product_name,permit_number,permit_type,crop,target,purpose,dose,dose_unit,bbch_min,bbch_max,treatment_time,phi,max_treatments,min_interval_days,expiry_date,latest_document,source_pdf,issue_reason
Laser,02.5/1414/4/2008,alapengedély,"alma, körte, birsalma, naspolya","almamoly, aknázómolyok",rovarölő szer,0.5,l/ha,,80,végső gyümölcsméret eléréséig,7,3,7,2028-12-31,Laser_mod_3010_1_20260107_public.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318238es348319192&documentName=Laser_mod_3010_1_20260107_public.pdf,missing usage row recovered from latest permit point 4
Laser Duplo (er.név: Spin Tor),46797/2004,alapengedély,"alma, körte, birs, naspolya","almamoly, aknázómolyok",rovarölő szer,0.25,l/ha,15,80,levélkiterüléstől a végső gyümölcsméret eléréséig,7,3,7,2028-12-31,Laser Duplo_mod_20260326.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348776886es348890151&documentName=Laser+Duplo_mod_20260326.pdf,missing usage row recovered from latest permit point 4
