web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-671","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cosavet DF Edge","check_circle","800 g/kg kén","2029. jún. 30.","gombaölő permetezőszer","2029. jún. 30.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5be0026299f6d49/thumbnail.png"
"1769693586-672","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cosayr","check_circle","200 g/l klorantraniliprol","2028. máj. 31.","rovarölő szer","2028. máj. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-673","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Crasher","check_circle","40 g/l nikoszulfuron","2028. márc. 30.","gyomirtó szer","2028. márc. 30.","","",""
"1769693586-674","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Credit Xtreme","check_circle","540 g/l glifozát","2027. ápr. 30.","gyomirtó szer","2027. ápr. 30.","","","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-675","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-676","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Croisor 100","check_circle","100 g/l szintofen","2027. máj. 31.","növekedésszabályzó szer","2027. máj. 31.","","","https://cdn.agromedium.com/uploads/2019/11/67c9c6f800047e3345ec/thumbnail.png"
"1769693586-677","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cross Extra","error","960 g/l S-metolaklór","2024. ápr. 23.","gyomirtó szer","","2024. ápr. 23.","","https://cdn.agromedium.com/uploads/2018/08/67c9c5bf000cfc1dad7b/thumbnail.jpg"
"1769693586-678","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Croupier OD","check_circle","324 g/l fluroxipir-meptil, 9 g/l metszulfuron-metil","2026. aug. 31.","gyomirtó szer","2026. aug. 31.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-679","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Crown MH","check_circle","270 g/l maleinsav-hidrazid","2033. okt. 31.","növekedésszabályozó készítmény","2033. okt. 31.","","","https://cdn.agromedium.com/uploads/2018/08/67c9c5bf000cfc1dad7b/thumbnail.jpg"
"1769693586-680","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csalán-zsurló kivonat","check_circle","","2032. dec. 22.","","2032. dec. 22.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c6fa000ba15ae8da/thumbnail.png"
"1769693586-681","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-682","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","CSALOMON Ragacsos Illatanyag és Színcsapda","check_circle","feromon","2033. ápr. 30.","ragacsos feromoncsapda és színcsapda","2033. ápr. 30.","","","https://cdn.agromedium.com/uploads/2020/03/67c9c70400147af12913/thumbnail.jpg"
"1769693586-683","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","CSALOMON Varsás-, Talajcsapda és Tojásgyűjtő Lap","check_circle","feromon","2033. ápr. 30.","csalogató (attraktáns)","2033. ápr. 30.","","","https://cdn.agromedium.com/uploads/2020/03/67c9c70400147af12913/thumbnail.jpg"
"1769693586-684","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csiga elleni granulátum","check_circle","10 g/kg vas-foszfát","2031. dec. 31.","csigaölő szer","2031. dec. 31.","","",""
"1769693586-685","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csiga Stopp","check_circle","10 g/kg vas-foszfát","2031. dec. 31.","csigaölő szer","2031. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-686","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csiga Tox","check_circle","9,9 g/kg vas-foszfát","2031. dec. 31.","csigaölő szer","2031. dec. 31.","","",""
"1769693586-687","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-688","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csiga-Vég","check_circle","10 g/kg vas-foszfát","2031. dec. 31.","csigaölő szer","2031. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-689","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Csigaölő Natural","check_circle","30 g/kg vas-foszfát","2031. dec. 31.","csigaölő szer","2031. dec. 31.","","",""
"1769693586-690","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cupertine M","error","80 g/kg mankoceb, 200 g/kg réz (bordói keverék)","2021. júl. 4.","gombaölő szer","","2021. júl. 4.","",""
"1769693586-691","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cupman","check_circle","60 g/kg cimoxanil, 461 g/kg réz-hidroxid","2029. márc. 31.","gombaölő szer","2029. márc. 31.","","","https://cdn.agromedium.com/uploads/2022/12/67c9c6f4001560c3ef62/thumbnail.jpg"
"1769693586-692","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprablau Z 35 WP","check_circle","577 g/kg rézoxiklorid","2026. dec. 31.","gombaölő permetezőszer","2026. dec. 31.","","",""
"1769693586-693","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-694","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprocaffaro Micro","check_circle","630 g/kg rézoxiklorid","2026. dec. 31.","gombaölő szer","2026. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
"1769693586-695","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprofix 30 DG","error","120 g/kg bordói keverék, 300 g/kg mankoceb","2021. júl. 4.","gombaölő szer","","2021. júl. 4.","",""
"1769693586-696","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprofix Disperss","check_circle","20 % réz (bázikus réz(II)szulfát)","2028. febr. 28.","gombaölő szer","2028. febr. 28.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-697","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprogard DG","check_circle","20 % réz (bázikus réz(II)szulfát)","2028. febr. 28.","gombaölő szer","2028. febr. 28.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-698","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cupromet-OH","check_circle","770 g/kg rézhidroxid","2029. máj. 31.","gombaölő szer","2029. máj. 31.","","","https://cdn.agromedium.com/uploads/2020/04/67c9c5c5003bb7c20c20/thumbnail.png"
"1769693586-699","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-700","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprosan 50 WP","error","841 g/kg rézoxiklorid (500 g/kg réz)","2025. márc. 15.","gombaölő szer","","2025. márc. 15.","","https://cdn.agromedium.com/uploads/2019/11/67c9c704002414f8c4a9/thumbnail.png"
"1769693586-701","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprosan Super F","error","120 g/kg bordói keverék, 300 g/kg mankoceb","2021. júl. 4.","gombaölő szer","","2021. júl. 4.","",""
"1769693586-702","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuproxat FW","check_circle","350 g/l tribázikus rézszulfát (190 g/l fémréz)","2027. dec. 31.","gombaölő szer","2027. dec. 31.","","counter_1","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-703","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuprozin Progress","check_circle","383 g/l réz-hidroxid","2029. márc. 31.","gombaölő szer","2029. márc. 31.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-704","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Currando","check_circle","500 g/l difenokonazol","2027. márc. 15.","gombaölő permetezőszer","2027. márc. 15.","","",""
"1769693586-705","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-706","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Curzate F","error","40 g/l cimoxanil, 480 g/l folpet","2023. márc. 24.","gombaölő szer","","2023. márc. 24.","","https://cdn.agromedium.com/uploads/2025/03/67e7a23d00318586422c/thumbnail.jpg"
"1769693586-707","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cuter","check_circle","100 g/l mezotrion","2033. máj. 31.","gyomirtó szer","2033. máj. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5be0026299f6d49/thumbnail.png"
"1769693586-708","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cycocel 750","check_circle","750 g/l klórmekvát","2028. febr. 28.","növekedésszabályzó szer","2028. febr. 28.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-709","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cyflamid","check_circle","50 g/l ciflufenamid","2029. márc. 31.","gombaölő szer","2029. márc. 31.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c5e0003c40ead470/thumbnail.png"
"1769693586-710","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cymbal 45 WG","check_circle","450 g/kg cimoxanil","2027. aug. 15.","gombaölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-711","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-712","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cyperfor 100 EC","check_circle","100 g/l cipermetrin","2028. okt. 31.","rovarölő szer","2028. okt. 31.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-713","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cyperkill 25 EC","error","250 g/l cipermetrin","2022. jún. 10.","rovarölő szer","","2022. jún. 10.","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-714","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cyperkill Max","check_circle","500 g/l cipermetrin","2027. febr. 28.","rovarölő szer","2027. febr. 28.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-715","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Cythrin Max","check_circle","500 g/l cipermetrin","2027. febr. 28.","rovarölő szer","2027. febr. 28.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5be0026299f6d49/thumbnail.png"
"1769693586-716","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dacor","check_circle","287,5 g/l etofenprox","2027. dec. 31.","rovarölő szer","2027. dec. 31.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-717","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-718","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dafne 250 EC","check_circle","250 g/l difenokonazol","2027. márc. 15.","gombaölő szer","2027. márc. 15.","","",""
"1769693586-719","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dagonis","check_circle","50 g/l difenokonazol, 75 g/l fluxapiroxad","2028. dec. 31.","gombaölő permetezőszer","2028. dec. 31.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-720","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dalimo","check_circle","500 g/l fluazinam","2029. júl. 31.","gombaölő szer","2029. júl. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f8002fe783f03a/thumbnail.png"
"1769693586-721","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Daneva","check_circle","100 g/l mezotrion","2033. máj. 31.","gyomirtó szer","2033. máj. 31.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-722","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Darby","check_circle","600 g/l 2,4-D","2031. dec. 31.","gyomirtó szer","2031. dec. 31.","","counter_1","https://cdn.agromedium.com/uploads/2022/12/67c9c6f4001560c3ef62/thumbnail.jpg"
"1769693586-723","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-724","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Darium","check_circle","50 g/l kizalofop-P-etil","2029. jan. 31.","gyomirtó szer","2029. jan. 31.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f70009b6d8d321/thumbnail.jpg"
"1769693586-725","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Darter","check_circle","200 g/l fluroxipir, 290 g/l fluroxipir meptilészter","2028. febr. 15.","gyomirtó szer","2028. febr. 15.","","","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-726","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dash HC","check_circle","348,75 g/l zsírsavak (C14-18) és telítetlen zsírsavak (C16-18) metil-észterei","2029. ápr. 30.","permetezőszer segédanyag","2029. ápr. 30.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-727","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Daskor","error","40 g/l cipermetrin, 400 g/l klórpirifosz-metil","2020. febr. 16.","rovarölő szer","","2020. febr. 16.","","https://cdn.agromedium.com/uploads/2020/04/67c9c7010006b6068ba1/thumbnail.png"
"1769693586-728","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Davai","check_circle","80 g/l imazamox","2026. okt. 31.","gyomirtó szer","2026. okt. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-729","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-730","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Daxur","check_circle","150 g/l krezoxim-metil, 100 g/l mefentriflukonazol","2027. ápr. 15.","gombaölő szer","2027. ápr. 15.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c5c50021e7685e21/thumbnail.jpg"
"1769693586-731","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deca 2,5 EC","check_circle","25 g/l deltametrin","2027. okt. 31.","rovarölő szer","2027. okt. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-732","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deca 50 CS","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-733","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deccopyr Pot","check_circle","300 g/kg pirimetanil","2027. jún. 30.","gombaölő szer","2027. jún. 30.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c6fa000ba15ae8da/thumbnail.png"
"1769693586-734","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Decis","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f400102ba14e1a/thumbnail.png"
"1769693586-735","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-736","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Decis Forte","check_circle","100 g/l deltametrin","2027. okt. 31.","rovarölő szer","2027. okt. 31.","","counter_1","https://cdn.agromedium.com/uploads/2019/09/67c9c6f400102ba14e1a/thumbnail.png"
"1769693586-737","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Decis Mega","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f400102ba14e1a/thumbnail.png"
"1769693586-738","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Defender","check_circle","360 g/l glifozát","2027. márc. 31.","gyomirtó szer","2027. márc. 31.","","","https://cdn.agromedium.com/uploads/2023/03/67c9c72800396ea3aa69/thumbnail.jpg"
"1769693586-739","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deflect 500 SC","check_circle","500 g/l diflufenikán","2028. dec. 31.","gyomirtó szer","2028. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-740","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deft Clear","check_circle","200 g/kg metszulfuron-metil","2029. ápr. 30.","gyomirtó szer","2029. ápr. 30.","","","https://cdn.agromedium.com/uploads/2022/12/67c9c6f4001560c3ef62/thumbnail.jpg"
"1769693586-741","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-742","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Degesch Magtoxin (golyó, pellet)","check_circle","660 g/kg magnézium-foszfid","2027. dec. 31.","gázosító szer","2027. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c7060001b943f042/thumbnail.jpg"
"1769693586-743","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Degesch Phostoxin tabletta, golyó, pellet","check_circle","565 g/kg aluminium-foszfid","2027. dec. 31.","gázosító szer","2027. dec. 31.","","","https://cdn.agromedium.com/uploads/2022/07/67c9c706000b3b4d1b4f/thumbnail.jpg"
"1769693586-744","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Degesch plates, strip rovarölő gázosítószer","check_circle","560 g/kg magnézium-foszfid","2027. dec. 31.","gázosító szer","2027. dec. 31.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c7060001b943f042/thumbnail.jpg"
"1769693586-745","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delan 700 WG","check_circle","700 g/kg ditianon","2029. márc. 31.","gombaölő szer","2029. márc. 31.","","counter_1","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-746","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delan Pro","check_circle","125 g/l ditianon, 561 g/l kálium-foszfonát","2027. máj. 31.","gombaölő permetezőszer","2027. máj. 31.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-747","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-748","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delan SC","check_circle","500 g/l ditianon","2028. jan. 31.","gombaölő szer","2028. jan. 31.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-749","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delaro","check_circle","175 g/l protiokonazol, 150 g/l trifloxistrobin","2029. júl. 31.","gombaölő permetezőszer","2029. júl. 31.","","","https://cdn.agromedium.com/uploads/2025/03/67e7a23d00318586422c/thumbnail.jpg"
"1769693586-750","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delaro Forte 280 EC","check_circle","93,3 g/l protiokonazol, 107 g/l spiroxamin, 80 g/l trifloxistrobin","2027. júl. 31.","gombaölő szer","2027. júl. 31.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f400102ba14e1a/thumbnail.png"
"1769693586-751","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","DelCaps 050 CS","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2020/04/67c9c6f4002d68edb2b0/thumbnail.png"
"1769693586-752","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delegate 250 WG","error","250 g/kg spinetoram","2024. jún. 30.","rovarölő szer","","2024. jún. 30.","","https://cdn.agromedium.com/uploads/2019/11/67c9c6fa0001ead89d8d/thumbnail.png"
"1769693586-753","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-754","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delfin WG","check_circle","4,85 x 10^13 CFU/kg Bacillus thuringiensis","2038. jún. 30.","rovarölő szer","2038. jún. 30.","","","https://cdn.agromedium.com/uploads/2023/01/67c9c5c70039285dc50f/thumbnail.png"
"1769693586-755","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delion","check_circle","480 g/l dikamba","2027. nov. 30.","gyomirtó szer","2027. nov. 30.","","",""
"1769693586-756","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delprima 050 CS","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2020/11/67c9c6f9001413c8202c/thumbnail.png"
"1769693586-757","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delta Super","check_circle","25 g/l deltametrin","2027. okt. 31.","rovarölő szer","2027. okt. 31.","","","https://cdn.agromedium.com/uploads/2018/08/67c9c5bf000cfc1dad7b/thumbnail.jpg"
"1769693586-758","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delta Trap ragacsos csapda és feromon kapszula","check_circle","ragasztóanyag, feromon","2035. ápr. 30.","illatanyagcsapda (ragacsos)","2035. ápr. 30.","","","https://cdn.agromedium.com/uploads/2024/05/67c9c7160028eade76b4/thumbnail.jpg"
"1769693586-759","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-760","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deltam","check_circle","15 g/l deltametrin","2026. okt. 31.","rovarölő szer","2026. okt. 31.","","",""
"1769693586-761","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deltam System","check_circle","25 g/l flupiradifuron","2026. dec. 31.","rovarölő szer","2026. dec. 31.","","",""
"1769693586-762","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deltaphar 25 EC","check_circle","25 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-763","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deltastop feromon csapda","check_circle","feromon ((E,E)-8,10-dodekadién-1-ol), feromon ((E,Z)-7,9-dodekadien-1-ilacetát), feromon ((E,Z)-8,10-tetradekadienal), feromon ((Z)-8-dodecén-1-il acetát), feromon ((Z)-8-dodecén-1-ol), feromon ((Z)-9-dodecén-1-il acetát), feromon ((Z)-9-tetradecén-1-il-acetát)","2026. máj. 31.","ragasztós illatanyagcsapda","2026. máj. 31.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c5cf002c6dbae44c/thumbnail.png"
"1769693586-764","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Deltathrin","check_circle","25 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2023/06/67c9c76b00277662b3eb/thumbnail.jpg"
"1769693586-765","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-766","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","DelTop 050 CS","check_circle","50 g/l deltametrin","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2019/11/67c9c6f7000d80fcbd22/thumbnail.png"
"1769693586-767","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Delu pocokriasztó szer","check_circle","800 g/kg kalcium-karbid","2029. jan. 31.","riasztó szer","2029. jan. 31.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c7060001b943f042/thumbnail.jpg"
"1769693586-768","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Designer","check_circle","256,3 g/l karboxilált-sztirol-1,3 butadién kopolimer","2035. máj. 31.","permetezőszer segédanyag","2035. máj. 31.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5be0026299f6d49/thumbnail.png"
"1769693586-769","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dessicash 20 SL","error","374 g/l diquat-dibromid","2019. máj. 4.","gyomirtó szer","","2019. máj. 4.","emergency_home","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-770","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Detector","check_circle","100 g/l deltametrin","2027. okt. 31.","rovarölő szer","2027. okt. 31.","","counter_1","https://cdn.agromedium.com/uploads/2023/03/67c9c5c50021e7685e21/thumbnail.jpg"
"1769693586-771","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-772","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Detia Carb","check_circle","800 g/kg kalcium-karbid","2029. jan. 31.","riasztó szer","2029. jan. 31.","","","https://cdn.agromedium.com/uploads/2019/10/67c9c7060001b943f042/thumbnail.jpg"
"1769693586-773","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Detia Degesch Schneckenkorn","check_circle","6 % metaldehid","2027. aug. 31.","csigaölő szer","2027. aug. 31.","","","https://cdn.agromedium.com/uploads/2022/07/67c9c706000b3b4d1b4f/thumbnail.jpg"
"1769693586-774","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Detia Gas Ex-B","check_circle","570 g/kg aluminium-foszfid","2027. dec. 31.","gázosító szer","2027. dec. 31.","","","https://cdn.agromedium.com/uploads/2022/07/67c9c706000b3b4d1b4f/thumbnail.jpg"
"1769693586-775","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Devrinol 45 F","counter_1","450 g/l napropamid","Alapengedély","counter_1","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5be0026299f6d49/thumbnail.png"
"1769693586-776","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Dezormon","check_circle","600 g/l 2,4-D","2031. dec. 31.","gyomirtó szer","2031. dec. 31.","","counter_1","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-777","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
