web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-25","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Dikamin 720 WSC + Nicogan","package_2","10 ha/csomag: kukorica","20 l Dikamin 720 WSC","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-26","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - DuRacer","package_2","4 ha/csomag: napraforgó","10 l Racer","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-27","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-28","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - DuRacer + Mirador Supreme","package_2","20 ha/csomag: napraforgó","10 l Racer","6 l Tender","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-29","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Fortis Duo","package_2","40 ha/csomag: kalászosok, káposztarepce","12 l Procer 300 EC","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-30","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Fox Duo","package_2","6,5 ha/csomag: napraforgó","2x5 l Fox","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-31","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan + Maxentis (25 ha)","package_2","25 ha/csomag: kalászosok","5 L Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-32","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan + Maxentis (5 ha)","package_2","5 ha/csomag: kalászosok","1 L Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-33","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-34","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan + Mirador Supreme (25 ha)","package_2","25 ha/csomag: kalászosok","5 L Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-35","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan + Mirador Supreme (5 ha)","package_2","5 ha/csomag: kalászosok","1 L Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-36","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan 24 EW + ExelGrow","package_2","5 ha/csomag: alma, árpa, búza, kalászosok, káposztarepce, mustár, olajretek, rozs, szőlő, tritikálé, zab","1 l Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-37","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Klartan 24 EW + Soratel","package_2","25 ha/csomag: napraforgó, káposztarepce","Klartan 24 EW","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-38","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Legato Trio + Piridex","package_2","20 ha/csomag: árpa, búza, rozs, tritikálé","5 kg Lamdex Extra","40 l Legato Trio","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-39","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-40","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Maxentis + Soratel","package_2","11 ha/csomag: kalászosok","Maxentis","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-41","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Meso Trio + TK-1","package_2","5 ha/csomag: kukorica","3 kg Meso Trio","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-42","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Mirador Forte + Procer 300 EC + Klartan 24 EW","package_2","15 ha/csomag: árpa, búza, káposztarepce, tritikálé, zab","25 l Mirador Forte","3 l Klartan 24 EW","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-43","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Mirador Supreme + Soratel","package_2","11 ha/csomag: kalászosok","Mirador Supreme","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-44","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Penta Pack (Trimmer Trio + Procer 300 EC)","package_2","3 ha/csomag: kalászosok","1 l Procer 300 EC","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-45","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-46","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Penta Pack (Trimmer Trio Box + Soratel)","package_2","12 ha/csomag: kalászosok","Tomigan 250 EC","Trimmer Max","","","Soratel","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-47","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Piridex","package_2","16,6-20 ha/csomag: árpa, búza, napraforgó, rozs, tritikálé, zab","5x1 kg Lamdex Extra","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-48","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Racer + Maxentis","package_2","6 ha/csomag: napraforgó","Racer","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-49","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Racer + Mirador Supreme","package_2","5 ha/csomag: napraforgó","15 l Racer","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-50","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Racer Duo","package_2","5-6 ha/csomag: napraforgó","5 l Leopard 5 EC","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-51","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
"1769693586-52","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Racer Duo + Maxentis","package_2","24 ha/csomag: napraforgó","Leopard 5 EC","Maxentis","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-53","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Racer Duo + Mirador Supreme","package_2","24 ha/csomag","Leopard 5 EC","Mirador Supreme","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-54","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - SulcoPack","package_2","60 ha/csomag: kukorica","120 l Sulcotrek","12 l Enter","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-55","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Sulcotrek csomag","package_2","5 ha/csomag: kukorica","10 L Sulcotrek","1 L Enter","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-56","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Sultan Top + Respox","package_2","10 ha/csomag: káposztarepce","20 l Sultan Top","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-57","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
